Frau Präsidentin, meine Damen und Herren! Frauen werden nicht gefragt, aber sie sind die Antwort.	Madam President, ladies and gentlemen, women are not being asked, but they are the answer.
Nichtregierungs- und Durchführungsorganisationen wissen es längst und handeln danach, wenn man sie läßt.	Non-governmental organizations and executive bodies have known this for a long time and act accordingly, when they are allowed to.
Eine wirkungsvolle Entwicklungspolitik ist ohne die Einbeziehung der Frauen nicht zu machen.	An effective development policy cannot be implemented without the participation of women.
Sie sind nicht nur der Motor ihrer Familien, sondern auch der Motor einer möglichen Entwicklung.	They are the driving force not only for their families, but also for any future development in this area.
Daß die Kommission dies nun in einer Verordnung berücksichtigt und dadurch eine Art Verhaltenskatalog für die entwicklungspolitische Praxis beschreibt, ist grundsätzlich zu begrüßen.	One must in principle welcome the fact that the Commission has recognized this in its regulation and has drawn up a certain code of behaviour for practical policy implementation.
Ich möchte zu dieser späten bzw. frühen Stunde auch der Berichterstatterin des Parlaments, Frau Karin Junker, sehr herzlich danken. Sie hat in der Bewertung der vorgelegten Verordnung ganz klar die frauenpolitischen Ziele und Anforderungen an die Entwicklungszusammenarbeit herausgestellt.	At this late - or indeed early hour, I would like to express my sincere thanks to the rapporteur, Mrs Junker, whose appraisal of the present regulation has clearly set out the objectives and requirements of development cooperation from a woman's viewpoint.
Unsere Fraktion stimmt dem Bericht zu.	Our group approves the report.
Wir haben dabei natürlich auch die Hoffnung, daß von den hehren Zielen soviel wie möglich in die Tat umgesetzt werden kann.	Naturally, we hope that as many as possible of its noble objectives will become a reality.
Dies erfordert natürlich nicht nur den politischen Willen auf allen Ebenen, sondern auch verläßliche Partner in Europa und den sogenannten Empfängerländern.	This will depend on the political will generated at all levels and also on cooperation from reliable partners in Europe and in the recipient countries.
Frauen, besonders in den ärmsten Ländern, tragen die Last des Lebens und ertragen den Druck ihrer Umgebung.	It is the women of the world, particularly in the poorest countries, who bear the burden of life and who have to endure the stresses and strains of their circumstances.
Ihnen gezielte Hilfe zur Selbsthilfe zu geben, bedeutet mehr, als nur einzelnen Frauen und ihren Familien zu helfen.	Giving them aid in the form of self-help implies more than simply assisting individual women and their families.
Die Förderung und Teilhabe der Frauen im ökonomischen, politischen und gesellschaftlichen Prozeß bedeutet, der Zukunft in den Entwicklungsländern eine Chance zu geben.	The promotion and participation of women in the economic, political and social process means giving the developing countries a chance for the future.
Darum müssen wir dem Bericht und der anstehenden Verordnung des Rates große Aufmerksamkeit widmen und mit guten Wünschen auf den Weg bringen.	We must therefore give all due attention to this report and this Council Regulation and wish them every success.
Gestatten Sie mir in den letzten Sekunden noch ein Wort zum Rahmen der Debatte hier.	Allow me finally to say something about the general scope of this debate.
Es ist ja keine Debatte, es ist eine unwürdige Sache für die wenigen Redner und die Berichterstatterin, die hier sein müssen, und ich danke einmal an dieser Stelle ausdrücklich den Dolmetschern und dienstbaren Geistern, die bis zur letzten Minute mit uns ausharren müssen.	In fact it is not really a debate at all, but rather something undeserving of the few speakers and reporters who have to be present, and I wish at this point to express particular thanks to the interpreters and other ministering angels who have endured with us to the bitter end.
Niemand außer dem Protokoll und dem Tonband lauscht uns hier.	No-one is listening to us here, apart from the minute-takers and the tape-recorders.
Es ist unwürdig, zumal wir ein so wichtiges Thema zu behandeln haben, das unsere ganze Aufmerksamkeit benötigt, um es überhaupt lösen zu können, um überhaupt den Ansatz der Lösung zu finden!	It is unworthy, especially since the important subject under discussion is one which requires our full attention if we are to find a solution, or even to begin the search for one.
Ich möchte gerne den Vorschlag machen, solche Veranstaltungen zu unterlassen.	I propose that we put an end to debates of this nature.
Man könnte zum Beispiel ab 22.00 Uhr sagen: Wir geben unseren Redebeitrag schriftlich zu Protokoll.	After 10 p.m. we could, for example, state that we are giving the written text of our speeches to the secretariat.
Wer hört hier noch zu?	Who is listening to us anyway?
Die Welt sowieso nicht, Europa überhaupt nicht, die Kollegen auch nicht.	Certainly not the world, certainly not Europe, not even our fellow MEPs.
Wir sitzen unter uns.	There is no-one here but ourselves.
Wir kennen unsere jeweilige Meinung.	We all know what our opinions are.
Es ist einfach unwürdig, uns gegenüber und dem Thema schon allemal!	Such debates do no justice to us, let alone to the subject matter.
