Herr Präsident! Freihandel kann gut sein, wenn Freihandel sich nicht nur im Freihandel erschöpft.	Mr President, free trade can be a good thing, where it does not simply stop at free trade.
Es geht bei derartigen Übereinkommen um viel mehr, und es muss um mehr gehen.	Agreements like this one are about much more than that, and they need to be.
Es soll nicht nur darum gehen, eine Freihandelszone zu errichten, sondern es muss auch um nachhaltige Effekte gehen.	They must not just be about setting up a free trade area, but they must also be about lasting effects.
Es muss darum gehen, Entwicklung zu schaffen.	They must be about bringing about development.
Es muss darum gehen, Sicherheit zu schaffen.	They must be about providing security.
Es muss darum gehen, Wohlstand für alle zu schaffen.	They must be about creating prosperity for all.
Das ist viel wichtiger, als dafür zu sorgen, dass reine Liberalisierung geschieht, dass Märkte geöffnet werden und dass am Ende einige wenige vielleicht profitieren.	That is much more important than ensuring that pure liberalisation takes place, that markets are opened up and that a few people benefit at the end of the process.
Wenn wir den Handel freier machen wollen, dann muss das Ziel dieser ganzen Bestrebungen - sowohl bei uns als auch in den Nachbarländern im Süden - sein, Arbeitslosigkeit zu bekämpfen.	If we want to make trade freer, the aim of all these efforts - both here and in our neighbouring countries to the south - must be to combat unemployment.
Es muss darum gehen, insbesondere für Frauen, für Jugendliche, für die ländliche Bevölkerung mehr Möglichkeiten zu schaffen.	These efforts must aim to create more opportunities, in particular for women, young people and the rural population.
Wenn das unser Ziel ist, dann sind wir auf dem richtigen Weg.	If that is our aim, then we are on the right track.
Wenn es darum geht, ausschließlich zu liberalisieren, aufzumachen, Gewinne für einige wenige zu ermöglichen, dann wären wir auf dem falschen Weg.	If our aim is just to liberalise, open up, and enable a few people to make profits, we are on the wrong track.
