Frau Präsidentin, Herr amtierender Kommissar! Ich habe Ihnen aufmerksam zugehört.	Madam President, Commissioner - for the moment - I listened carefully to what you had to say.
Ihre Rede hat mich überrascht, nein sie hat mich eigentlich nicht überrascht.	Your speech surprised me; no, actually it did not surprise me.
Aber sie hat mich doch überrascht, denn es gibt nur zwei Erklärungen dafür.	But in fact it did surprise me, because there are only two explanations for it.
Entweder Sie können nicht lesen, oder Sie hatten eine vorgefertigte Meinung und wollten diese Meinung gerne bestätigt sehen, und Ihnen gefällt deshalb das wissenschaftliche Gutachten nicht.	Either you cannot read, or you had a preconceived opinion and wanted this opinion to be confirmed, and that is why you do not like the scientific reports.
Lassen Sie uns doch überlegen, wo wir heute sind.	Let us consider where we stand today.
Sie haben gesagt, es sei eine rechtliche und ökonomische Angelegenheit.	You said that it was a legal and economic issue.
Ist es eine rechtliche Angelegenheit?	Is it a legal issue?
Die Berufungsinstanz der WTO hat uns auferlegt, daß wir ein Gesundheitsrisiko nachweisen.	The WTO Appellate Body has told us to prove that there is a health risk.
Ist das nicht nachgewiesen?	Has it not been proven?
Die Gefährlichkeit ist nachgewiesen, und wo stehen wir denn heute?	The danger is proven, so where does that leave us today?
Frau Mann hat gesagt, wir seien eigentlich nicht sicher, wie wir reagieren sollten, und Herr Kittelmann hat gesagt, wir könnten nur das machen, was rechtlich und tatsächlich machbar ist.	Mrs Mann said that we were not actually sure how we should react, and Mr Kittelmann said that any action we took had to be legal and actually workable.
Herr Kittelmann, ich sehe mit großem Interesse entgegen, wie Sie Ihren Wählerinnen und Wählern bei den Wahlen zum Berliner Abgeordnetenhaus erklären, was rechtlich und tatsächlich machbar ist.	Mr Kittelmann, I look forward with great interest to seeing how you explain to your voters at the elections to the parliament in Berlin what is legal and actually workable.
Das haben vor 20 Jahren, Sir Leon Brittan, Kolleginnen und Kollegen von Ihnen in Ihrem Land Großbritannien gemacht, und wir sind heute, wo wir sind mit BSE. Sie sind auf dem besten Weg, das mit der Regierung von Großbritannien fortzusetzen, sollten Sie glauben, deren Unterstützung zu haben.	It was 20 years ago, Sir Leon, when colleagues of yours did this in your country, the United Kingdom, and look where that got us with BSE. You are well on the way to continuing that process with the government of the United Kingdom, should you believe that you have their support.
Laßt uns doch mal überlegen: Wo sind wir?	Let us just consider where we are.
Wir haben sechs Hormone.	We have six hormones.
Das wissenschaftliche Gutachten sagt von allen, sie stellen eine Gesundheitsgefährdung dar, und von einem sagt es, es ist krebserzeugend und krebsfördernd, und Sie wagen allen Ernstes, Sir Leon Brittan, zu sagen, wir müßten jetzt mehr Transparenz haben.	The scientific reports say that all of them pose a risk to health and that one of them both causes cancer and aggravates it, and you dare to say in all seriousness, Sir Leon, that now there should be greater transparency.
Haben Sie die in Ihrer Generaldirektion und Ihrem Kabinett?	Is that what you have in your Directorate-General and in your private office?
Das möchte ich zu gerne wissen.	I would love to know.
Wir müßten mehr Transparenz haben, wir brauchten neue Analysen, welche denn?	There should be greater transparency, we need new analyses: which ones then?
Die dem, was Sie eigentlich wollen, zugute kommen und gerecht werden?	Ones which support and match what you actually want?
Und wir brauchten neue wissenschaftliche Daten.	And you say that we need new scientific data.
Welche denn, Herr Brittan?	Which data would that be, Sir Leon?
Ich weiß, daß Sie eigentlich die Etikettierungsvariante haben wollten.	I know that really you were in favour of the labelling option.
Das wissen alle, die lesen, sehen und hören können.	Anyone who can read, see and hear knows that.
Sie wissen doch auch, was die Etikettierungsvariante heißt.	But you also know what the labelling option means.
Das Stück Fleisch kann vielleicht noch gekennzeichnet werden, aber nichts, was danach kommt, nicht das Hackfleisch, nichts, nichts, nichts danach!	A piece of meat can perhaps be labelled, but nothing which derives from it can be, not minced meat and nothing, nothing, nothing more!
Das haben Sie von der Kommission uns doch immer gesagt, wenn wir für eine umfassende Kennzeichnung waren und das im Parlament wollten.	You, the Commission, repeatedly told us this, did you not, when we were in favour of comprehensive labelling and wanted that in Parliament.
