Herr Präsident!	.
Frau Figueiredo, Ihnen gebührt ein großes Kompliment. Sie haben sehr viele Argumente zusammengetragen und einen komprimierten Bericht geschrieben.	Mr President, Mrs Figueiredo deserves a great deal of congratulation for putting together a very large number of arguments and writing a densely-packed report.
Neben dem ständigen Gerede über Wettbewerb, Wirtschaftswachstum, Freiheit des Kapitals, der Dienstleistungen, der Waren usw. ist es wohltuend, wenn das so oft als christliches Abendland überstrapazierte Europa sich vom Neokapitalismus abgrenzt und Mitwelt, Umwelt und Nachwelt in den Mittelpunkt setzt.	After listening to the constant talk about competition, economic growth, the free movement of capital, services and goods and so on, it does one good to see Europe, of whose being the ‘Christian West’ we hear so much, setting limits to neo-capitalism and focusing attention on our fellow-creatures, our environment and those who will come after us.
Es kann uns nicht gleichgültig lassen, wenn jeder siebte Bürger im insgesamt reichen Europa von Armut bedroht ist.	We cannot be indifferent to the fact that, in a Europe that is generally rich, one person in seven faces the threat of poverty.
Wir dürfen nicht die Wochenarbeitszeiten und die Lebensarbeitszeiten immer weiter nach oben schrauben, wenn wir wissen, dass in der EU ungefähr 20 Millionen Menschen, mehrheitlich Frauen, arbeitslos sind.	We cannot keep on increasing working times – expressed in weeks or over a lifetime – when we know that some 20 million people, most of them women, are out of work in the EU.
Auch Arbeit und Gehälter sind solidarischer zu teilen.	There should be more solidarity expressed in the way we share out work and wages.
Wir können doch nicht wegschauen, wenn Konzerne ihre häufig subventionierten Unternehmen einfach dorthin verlagern, wo sie die günstigsten Bedingungen – Gehälter, Steuern, Sozialabgaben, Umweltauflagen, Kontrollen usw. – vorfinden und wo sie die größten Gewinne erzielen können.	We surely cannot look away when conglomerates, often having received subsidies for their businesses, simply move them to where they can make the greatest profits and where they find the most propitious conditions in terms of wages, taxes, social security contributions, mandatory environmental requirements, controls and so on.
Unternehmen tragen auch soziale Verantwortung.	Businesses also bear social responsibilities.
Gerechtigkeit ist die Voraussetzung für sozialen Frieden.	Social peace is dependent upon justice.
Solidarität ist das beste Netz gegen Armut und soziale Ausgrenzung.	Solidarity is the best network for combating poverty and counteracting social exclusion.
Sozialbeiträge sind oft wie ein Almosen, eine Demütigung für den Empfänger, vor allem wenn dieser aus Unrecht in Not gerät.	Social security contributions are often akin to a handout, a humiliation for the recipients, particularly when they are in need through no fault of their own.
Ich hoffe, dass dem Bericht hier mit breiter Mehrheit zugestimmt wird, damit Rat und Kommission möglichst viele der aufgeworfenen Fragen aufgreifen. Wir dürfen doch nicht untätig bleiben, solange auch in Europa die wenigen Reichen immer noch reicher werden und die Zahl der Armen zunimmt.	I hope that a broad majority in the House will support this report and that the Council and the Commission will take up as many as possible of the issues it raises, for we cannot sit idly by while the few rich people in Europe get even richer and the number of poor people rises.
Es braucht eine Schubumkehr. Mit diesem Bericht werden viele Impulse in die richtige Richtung gegeben.	What is needed is a push in a different direction, and the one this report will give will be a big one, and in the right direction.
Danke auch Herrn Kommissar Špidla für sein sozialpolitisches Verständnis und für sein Engagement.	I would also like to thank Commissioner Špidla for his understanding of social policy issues and for his commitment.
