im Namen der Verts/ALE-Fraktion. - Frau Präsidentin, Herr Kommissar! Wir haben diese Aussprache wirklich beantragt, damit richtiggestellt und aufgeklärt werden kann, was an den Vorwürfen zutrifft und was davon billiger Populismus ist.	Madam President, Commissioner, we requested this debate in order to correct and clarify exactly what in these claims is true and what is merely cheap populism.
Das war der Hintergrund.	That was the background to this.
Wir hätten erwartet, dass die Kommission früher an die Presse geht, aber wenn es heute durch die Debatte klargestellt werden kann, sind wir auch sehr zufrieden.	We would have expected the Commission to go to the press sooner, but if the matter can be cleared up through this debate, we will be very happy with that.
Ich begrüße die Ankündigung, dass Sie die Überprüfung bei den Schwermetallen und bei den Weichmachern vornehmen werden.	I welcome the announcement that you are going to carry out tests with regard to heavy metals and softening agents.
Ich halte das auch für dringend erforderlich.	I believe that is urgently needed.
Ich möchte darauf hinweisen, dass die Zahl der Neuerkrankungen an Krebs bei Kindern unter 15 Jahren von 1980 - das ist der Beginn der Datendokumentation - bis zum Jahr 2006, um über 50 % gestiegen ist.	I would like to point out that the number of new cases of cancer in children under 15 years of age rose by more than 50% between 1980 - when data began to be collected - and 2006.
Böswillige Tumorerkrankungen sind die zweithäufigste Todesursache bei Kindern.	Malignant tumours are the second most common cause of death in children.
Deshalb müssen wir handeln, wir müssen überprüfen, ob diese Zahlen stimmen, und wir müssen entsprechend reagieren.	We therefore need to act, we need to check whether these figures are correct and we need to respond accordingly.
Und wenn diese neueste Studie des deutschen Bundesinstituts für Risikobewertung zeigt, dass die revidierte Spielzeugrichtlinie nicht ausreichend vor krebserregenden Weichmachern schützt, dann müssen wir handeln.	If this latest study by the German Federal Institute for Risk Assessment shows that the revised Toys Directive does not provide sufficient protection from carcinogenic softening agents, we will have to take action.
Es kann nicht sein, dass Kinder bei einem nur einstündigen Hautkontakt ein Vielfaches der krebserregenden Stoffe aufnehmen können, die im Rauch von 40 Zigaretten enthalten sind.	It cannot be the case that children can take up many times the quantity of carcinogenic substances in just one hour of skin contact than are contained in the smoke from 40 cigarettes.
Diese Stoffe sind vermeidbar, es ist technisch möglich, auch das zeigt die Studie.	These substances can be avoided. The study shows that this is technically possible.
70 % der verkauften Spielzeuge liegen unterhalb dieser Schwellen.	Seventy percent of toys sold are below these thresholds.
Deshalb ist es jederzeit möglich, auch von den anderen einzufordern, dass sie diese Grenzwerte einhalten.	Therefore, it is possible at any time to require the other toys to meet these limit values, too.
Es ist wahrscheinlich eine Frage des Preises, aber das kann nicht allein über den Markt geregelt werden, wenn die Sicherheit von Kindern bedroht ist.	It is presumably a question of price, but that cannot be regulated by the market alone when the safety of children is at risk.
Dann muss die Politik handeln und die Schwellenwerte entsprechend anpassen und erhöhen.	Political action needs to be taken to adjust and raise the threshold values accordingly.
Natürlich sind die Mitgliedstaaten für die Marktaufsicht zuständig und nicht Europa, nicht das Parlament oder nicht die Kommission.	Of course, Member States are responsible for market surveillance, not Europe, Parliament or the Commission.
Und auch wir haben mehrfach gefordert, dass Deutschland seine Aufgaben im Bereich der Marktaufsicht ernst nimmt und dass es entsprechend tätig wird.	We have also called on Germany many times to take its duties in the area of market surveillance seriously and to take the relevant action.
Das heißt aber noch lange nicht, dass wir deshalb nicht handeln müssen, wenn es Zweifel gibt, dass unsere Schwellenwerte nicht dem Stand der Wissenschaft entsprechen, und deshalb hoffe ich und wünsche ich mir, dass die neue Kommission so bald wie möglich mit Vorschlägen auf das Parlament zukommt und dass wir dann im Komitologieverfahren die entsprechenden Grenzwerte anpassen können.	However, that does not, by any means, mean that we do not need to take action where there is doubt as to whether our threshold values reflect the latest scientific findings, and therefore it is my hope and request that the new Commission will present proposals to Parliament as soon as possible so that we can then adjust the relevant limit values in the comitology procedure.
