Herr Präsident, lieber Herr Kommissar! Drei kurze Anregungen zu dem offenen Dialog.	Mr President, Commissioner, I would like to make three short suggestions about open dialogue.
Eine Anregung zum politischen Dialog.	Firstly, a proposal for political dialogue.
Über Indonesien, über Osttimor, über Burma haben wir bereits geredet.	We have already spoken about Indonesia, East Timor and Burma.
Ich möchte auf die Situation zwischen der Volksrepublik China und Taiwan eingehen.	I would like to mention the situation between the People's Republic of China and Taiwan.
Ich glaube, wir sollten klarmachen, dass die Wahl des neuen taiwanesischen Präsidenten eine historische Chance ist, die Gegensätze auf beiden Seiten der Taiwan Strait zu überwinden, und das sollten wir tun.	I believe we should make it clear that the election of the new Taiwanese President is a historical opportunity to overcome the differences on the two sides of the Taiwan Strait, and we should do this.
Wir sollten als Europäer auch endlich den Mut haben, das Verbindungsbüro der Europäischen Union in Taipeh zu eröffnen, denn Taiwan ist ein großes Wirtschaftsland, zu dem wir engste Beziehungen haben.	As Europeans we should also, at long last, have the courage to open the EU liaison office in Taipei, because Taiwan is a major economic force with which we have very close relations.
Aber es geht um den politischen Dialog.	But there is the matter of political dialogue.
Zweiter Punkt: Wir sollten wirtschaftlich offen sein und auch einmal harte Dinge ansprechen.	My second point is that we should be economically open, and we also have to tackle difficult topics sometimes.
Gerade wenn wir in Seoul sind, dann müssen wir noch einmal darauf hinweisen, dass die Subventionen, die Korea seinen Werften zubilligt, unerträglich sind.	We should take the opportunity of being in Seoul to stress once again that the subsidies Korea grants to its shipyards are unacceptable.
Sie gefährden Arbeitsplätze in der ganzen Europäischen Union.	They put jobs throughout the EU at risk.
Es kann nicht angehen, dass wir Korea in der ASEAN-Krise geholfen haben, über IWF-Darlehen usw., Korea jetzt aber seine Werften immer noch subventioniert, was unsere Werften in ungerechtfertigter Weise in Schwierigkeiten bringt.	It is not acceptable that we assisted Korea during the ASEAN crisis by means of IMF loans and suchlike, only for Korea still to be subsidising its shipyards, which is creating unjustifiable problems for our own shipyards.
Drittens: Das ist ein Punkt, der geht uns an, aber auch die Staaten Asiens.	My third point is one that affects not only us but also the countries of Asia.
Wie bereits angesprochen, brauchen wir einen Dialog zwischen den Parlamenten, zwischen dem Europäischen Parlament und den Parlamenten der zehn asiatischen Staaten.	As has already been mentioned, we need an interparliamentary dialogue, a dialogue between the European Parliament and the parliaments of the 10 Asian states.
Sie haben zu Recht als einen der großen Punkte auf dem Asientreffen den umfassenden Dialog angesprochen, also das Formulieren verschiedener Interessen.	You quite rightly mentioned that one of the key points at the Asia-Europe Summit will be the wide-ranging dialogue, that is to say the expression of various different interests on the part of Europe and Asia.
Es kann nicht angehen, dass die Interessen zwischen Asien und Europa immer nur zwischen Regierung und Beamten ausgetauscht werden, wobei großzügig auch die Ebene der Wissenschaftler, der Journalisten einbezogen wird.	It is not acceptable for these interests only to be the subject of exchanges between governments and officials, with academics and journalists generously being allowed to participate.
Die Parlamentarier müssen an dem Prozess ebenfalls beteiligt werden, denn reine Außenpolitik ist das nicht mehr.	Members of Parliament also need to take part in this process - this is no longer a question of pure foreign policy.
Das sind alles politische Fragen, die sehr stark in die Situation der einzelnen Länder eingreifen: Deswegen müssen die Abgeordneten beteiligt werden.	These are all political issues which significantly affect the situation in individual countries, and so Members of Parliament must be involved in this.
Wenn die japanischen Abgeordneten im November zu uns nach Straßburg kommen, Herr Präsident, werden wir sie bitten, das nächste Treffen der Parlamentarier des Europäischen Parlaments und der asiatischen Staaten möglichst in Japan auszurichten.	When the Japanese Members of Parliament come to see us in Strasbourg in November, Mr President, we will ask them to see if the next meeting between Members of the European Parliament and Members of Parliament from the Asian countries can, if at all possible, be organised in Japan.
