Frau Präsidentin, Herr Kommissar! Europäische Solidarität wird greifbar, Kolleginnen und Kollegen!	Madam President, Commissioner, ladies and gentlemen, European solidarity is within our grasp!
Aktuell und künftig kann bei großen Katastrophen sofort geholfen werden.	Now and in the future, aid can be given at once when disasters strike.
Ich als Abgeordneter aus Sachen-Anhalt habe mit Dankbarkeit das schnelle und einmütige Handeln von Kommission und Parlament erlebt.	It is with gratitude that I, as a MEP from Saxony-Anhalt, see with what speed and unanimity the Commission and Parliament act.
Bei den Betroffenen in meiner Region habe ich auch erlebt, dass sich der europäische Gedanke kaum sinnfälliger vermitteln lässt als durch Hilfe.	I have also found, among the flood victims in my region, that the European ideal can hardly be more clearly communicated than by aid.
Vielleicht ist es ja ein gutes Omen, dass wir diese Solidarität von heute an diesem historischen Tag debattieren, an dem die Erweiterung der Gemeinschaft feste Konturen erhalten hat, denn der Solidaritätsfonds und unsere Solidarität gilt schon jetzt auch den Beitrittskandidaten.	It is perhaps auspicious that we find ourselves debating this solidarity on this historic day when the enlargement of the Community has taken on a definite shape, for the Solidarity Fund is already open to the candidate countries and our solidarity is already being extended to them.
Das Anliegen meiner Fraktion ist es, die Präzision des guten Verordnungsvorschlags von Kommissar Barnier möglichst beizubehalten.	My group's concern is to retain as far as possible the precision of Commissioner Barnier's fine proposal for a regulation.
Der Solidaritätsfonds ist ein Hilfsinstrument, das Soforthilfe ermöglicht und deutlich von den Aufgaben des Strukturfonds unterschieden werden muss.	The Solidarity Fund is an instrument of aid, one that makes immediate aid possible and whose tasks must be clearly distinguished from those of the Structural Fund.
Zwei Änderungen am Kommissionstext möchte ich hervorheben.	I would like to highlight two amendments to the Commission draft.
Erstens, wie Herr Berend, die von uns gewollte umfassendere Katastrophendefinition. Sie erlaubt uns künftig, flexibel auf unvorhersehbare katastrophale Ereignisse zu reagieren, die ansonsten schwer unter den Kommissionsvorschlag zu subsumieren wären, z. B. Dürren oder Folgen von Terroranschlägen.	Firstly, I wish to follow Mr Berend in highlighting the more comprehensive definition of a disaster, which we wanted, and which will allow us to respond flexibly to future catastrophic events that would otherwise be hard to include under the Commission proposal, for example droughts or the fallout from acts of terrorism.
Zweitens, die Verlängerung der Antragszeit auf drei Monate.	Secondly, the extension to three months of the period in which application to the Fund must be made.
Sie gewährt auch den administrativ noch nicht so gut ausgestatteten Beitrittsländern eine angemessene Reaktionszeit und wird einem Szenario gerecht, bei dem wichtige Teile der Administration mit zerstört werden.	This gives an appropriate response time to those candidate countries that are as yet less well equipped to deal with administration and does justice to a situation in which important parts of the administration have also been destroyed.
Nicht zum Solidaritätsfonds, aber in unsere Diskussion heute gehört die Forderung nach einer künftigen zivilen europäischen Einsatztruppe.	Although this is not relevant to the Solidarity Fund, our discussion today should make reference to the call for a future European civilian emergency force.
Die Flutkatastrophe hat gezeigt, dass trotz allem Engagement erhebliche Mängel bei Einsatzleitung, Material, Logistik und Kommunikation vorhanden waren, zumal im grenzüberschreitenden Bereich.	The flood disaster has shown that, whatever the efforts made, there were significant deficiencies in the leadership of operations, in materials, logistics and communication, at any rate as regards the cross-border dimension.
Hier muss Abhilfe geschaffen werden.	This needs to be remedied.
Die Kommission sollte zunächst gemeinsame Übungen von Feuerwehr, Technischem Hilfswerk, Katastrophenschutz usw. im Grenzbereich anregen oder unterstützen.	The Commission should start by encouraging or supporting joint exercises by fire brigades, by the agencies for technical aid, by the rescue services and so on in border areas.
Mittelfristig könnte daraus ein logistisch einheitliches Hilfsnetzwerk oder gar ein ziviles Solidaritätscorps entstehen, das sogar außerhalb der Gemeinschaft im Katastrophenfall einsetzbar wäre, zum Beispiel bei einem vergleichbaren Erdbeben wie kürzlich in der Türkei.	In the medium term, this could give rise to a logistically unitary aid network or even a civilian solidarity corps, which could indeed be deployable in the event of disasters outside the Community, for example after an earthquake such as that which recently struck Turkey.
An einer solchen Vision sollten wir arbeiten, und zwar nicht erst nach der nächsten Katastrophe.	It is a vision such as that on which we should be working, and we should not wait until after the next disaster.
Mein Dank, ich will das nicht vergessen, gilt dem Berichterstatter für die ausgezeichnete Zusammenarbeit!	My thanks - for I must not forget him - to the rapporteur for his excellent cooperation!
