Vizepräsident der Kommission.	Vice-President of the Commission.
Die Kommission stimmt mit dem Herrn Abgeordneten darin überein, dass die Ingenieurdisziplinen für die europäische Wirtschaft insgesamt - vor allem im Hinblick auf unsere Strategie für mehr Wachstum und Beschäftigung - besonders wichtig sind.	The Commission agrees with the honourable Member that the engineering disciplines are particularly important for the European economy as a whole, especially with regard to our strategy for greater growth and employment.
Ingenieurleistungen sind essenziell für viele Wirtschaftssektoren und verdienen deshalb unsere volle Aufmerksamkeit.	Engineering work is essential for many sectors of the economy and therefore deserves our full attention.
Ende 2005 wurde eine hochrangige Arbeitsgruppe "Dialog Maschinenbau" ins Leben gerufen, die für den Maschinenbau eine umfassende Analyse der Wettbewerbsfähigkeit des Sektors erstellt.	A high-level working group, the 'Mechanical Engineering Dialogue', was set up at the end of 2005 to make a comprehensive analysis of the sector's competitiveness.
Diese Initiative folgt einem ähnlichen Vorgehen in anderen Sektoren des verarbeitenden Gewerbes, und weitere Initiativen werden in Kürze folgen.	This initiative follows similar action in other manufacturing sectors, and further initiatives will follow shortly.
Die ersten Ergebnisse der Arbeitsgruppe zeigen, dass Fragen der Ausbildung und Qualifikation eine ernsthafte Herausforderung für das produzierende Gewerbe sind.	The working group's initial findings show that questions of training and qualification are a serious challenge for manufacturing.
Nicht nur sind die absoluten Zahlen der ins Berufsleben eintretenden jungen technischen Mitarbeiter unzureichend, es gibt auch Probleme mit dem Verbleib qualifizierter Kräfte in der Industrie und mit dem öffentlichen Ansehen des Ingenieurwesens.	Not only are the absolute numbers of young technical staff entering working life inadequate, but there are also problems with retaining skilled personnel in the industry and with the public image of engineering.
Zusätzlich stellen sich Probleme bei der notwendigen Anpassung an vielfältige Veränderungen, die zurzeit stattfinden.	There are also problems with the necessary adaptation to various changes that are currently taking place.
Diese Themen werden von der Kommission gemeinsam mit der Industrie und den Mitgliedstaaten behandelt.	The Commission is looking at these matters together with industry and the Member States.
Da die Kommission nur ein sehr begrenztes Mandat im Bereich der beruflichen Bildung hat, ist es besonders wichtig, dass andere Gruppen und Beteiligte ihren Beitrag leisten.	Since the Commission has only a very limited mandate in the field of vocational training, it is particularly important that other groups and affected parties make their contribution.
Die Kommission vergleicht insbesondere die verschiedenen Ansätze der Mitgliedstaaten, um so die bestmöglichen Lösungen zu finden und den geeigneten Rahmen zu definieren, in dem Innovationen zur Entfaltung kommen können.	In particular, the Commission is comparing the different approaches taken by the Member States in order to find the best possible solutions and to define the right framework for innovation to develop.
Die Mitgliedstaaten müssen, besonders hinsichtlich der Ausbildungsinhalte, hinsichtlich des lebenslangen Lernens und der Mobilität von Arbeitnehmern mehr leisten, während es Sache der Industrie ist, die zukünftigen Anforderungen genau zu definieren und die Attraktivität technischer Berufe zu erhöhen.	Member States need to do more, especially as regards course contents, lifelong learning and worker mobility, while it is up to industry to define future requirements accurately and to make technical occupations more attractive.
Alle diese Elemente sind Bestandteile des industriepolitischen Ansatzes der Kommission, und wir werden das Parlament und den Rat noch in diesem Jahr darüber informieren, in welchem Umfang unsere industriepolitischen Vorschläge zu Fortschritten geführt haben.	All this is part of the Commission's approach to industrial policy, and we will this year be informing Parliament and the Council of the extent to which our industrial policy proposals have resulted in progress.
