Herr Präsident! Drei kurze Anmerkungen zum Thema Millenniumrunde und kulturelle Vielfalt.	Mr President, three brief remarks about the Millennium Round and cultural diversity.
Erstens: Die EU ist eine Erfolgsgeschichte, eine Wirtschaftsgemeinschaft, die auf offene Märkte gesetzt hat und den Menschen soziale Sicherheit und wirtschaftlichen Wohlstand gebracht hat.	First of all, the EU is a success story, an economic community which has put its faith in open markets and given people security in the social sphere, together with economic prosperity.
Die Europäische Union ist aber nicht nur eine Wirtschaftsgemeinschaft, sie ist auch eine Wertegemeinschaft.	However, the European Union is not only an economic community but also a community of values.
Diese Werte und die Sicherung der kulturellen Vielfalt Europas sind gerade in einer Zeit zunehmender Weltwirtschaft unverzichtbar.	To uphold these values and to secure the cultural diversity of Europe are indispensable tasks at a time when the economies of the world are increasingly interrelated.
Mein besonderer Dank gilt deshalb Herrn Schwaiger, dem Berichterstatter, der in hervorragender Weise die Unterstützung dieses kulturellen europäischen Erbes in den Bericht für die Millenniumrunde eingebracht hat.	I should therefore particularly like to thank Mr Schwaiger, the rapporteur, who has done an excellent job in the way he has introduced the subject of securing the cultural heritage of Europe into the report for the Millennium Round.
Derweil gibt es zwei Ziele.	In the meantime, there are two goals.
Zum einen darf die dynamische Entwicklung der elektronischen Dienste nicht behindert werden.	On the one hand, the dynamic development of electronic services ought not to be impeded.
Sie muß im Gegenteil erleichtert werden, denn sie sichert in Europa und weltweit zukunftssichere Arbeitsplätze wie keine zweite Branche.	On the contrary, it must be facilitated for, like no other branch of industry, it guarantees jobs that are safe for the future, both in Europe and worldwide.
Zum anderen aber muß die Vielfalt unseres kulturellen Erbes in Europa auch in Zukunft durch Fördermaßnahmen auch der Mitgliedsländer unterstützt und gefördert werden können.	On the other hand, we shall have to be in a position to support and promote the diversity of our European cultural heritage in the future too, and this by means of promotional measures taken also by the Member States.
Der Bericht Schwaiger ermöglicht beide Ziele.	The Schwaiger report facilitates both goals.
Deshalb hat er eine breite Unterstützung von uns allen verdient.	It has therefore earned broad support from us all.
