Wenn Sie mit dieser Klarheit in die Verhandlungen gehen, ist uns nicht bange.	We have no fear of you bringing the same clarity to the negotiations.
Es ist uns deshalb nicht bange, weil wir zumindest einen starken Regierungschef in dieser Regierungskonferenz haben werden, der nicht bereit ist, einen Kompromiss um jeden Preis zu schließen. Einen Kompromiss, der die Substanz dessen aufgeben würde, was wir in der Verfassung erarbeitet haben, wäre kein Kompromiss, sondern eine Niederlage für das europäische Einigungswerk. Deshalb danke für Ihr klares Bekenntnis.	The reason why we do not fear that prospect is that there will then be at least one strong head of government at the Intergovernmental Conference, one who is not prepared to agree to a compromise at any price, for a compromise that would surrender the substance of what we put into the Constitution would be no compromise at all, but rather a setback for the work of European integration, and so thank you for your clear affirmation.
(Beifall)	(Applause)
Mein Kollege Poul Nyrup Rasmussen hatte die Gelegenheit, in Nizza mit am Tisch zu sitzen und den Vertrag von Nizza mit auszuhandeln. Ich habe oft Gelegenheit, mit ihm darüber zu diskutieren.	My colleague Mr Nyrup Rasmussen had the opportunity to sit at the table in Nice, at which he helped negotiate the Treaty of Nice, and I have had frequent occasion to discuss this with him.
Als die 15 Regierungschefs in Nizza den Saal verließen, haben alle gesagt, dass dieses Ergebnis nicht reiche. Denn es handelte sich um einen dieser Minimalkompromisse, der geschlossen wurde, damit nicht noch mehr Regierungschefs einschlafen.	When the fifteen Heads of Government who were at Nice left the chamber, they all described the result as inadequate, on the grounds that it was one of those minimal compromises that get reached in order to prevent even more Heads of Government nodding off.
Das war der Grund, weshalb der Konvent einberufen wurde, weil diejenigen, die in Nizza zusammen saßen, gesagt haben: Für die Erweiterung reicht das nicht. Aber die Erweiterung kommt und wenn wir die Erweiterung meistern wollen, brauchen wir eine andere Vertragsgrundlage.	That was why the Convention was summoned; it was summoned because those who had sat at the table in Nice said that this was not enough for the purpose of the enlargement that would come about, but it is coming, and, if we want to make a success of it, a new basis will be needed.
Also haben sie widerwillig unserer Forderung nach einem Konvent zugestimmt. Denn sie wussten: Was wir 15 verhandelt haben, reicht nicht für 27. Dann hat man eine Verfassung angenommen - sie haben gesagt, der Text ist gut - ja, dem stimme ich zu.	So it was that they, reluctantly, agreed to our demand for a convention, knowing as they did that what the 15 had hammered out would not be enough for 27. At the Convention, a constitution was adopted, with people saying that the text was OK, and so they would vote for it.
Es war eine gute Verfassung. Nun wurde sie abgelehnt und wir sind zurückgeworfen worden auf den Vertrag von Nizza.	It was a good constitution, but it then got thrown out and we were thrown back on the Treaty of Nice.
Aber ich stelle folgende Frage: Ist das, was im Jahr 2000 richtig war, nämlich dass Nizza nicht für die Erweiterung reicht, im Jahr 2007 falsch?	I would ask, though, whether what was true in the year 2000 - namely that Nice would not be enough for enlargement - has become false in 2007.
Nein, Nizza reicht nicht für die Erweiterung, aber wir haben auf der Grundlage eines unzureichenden Vertrages bereits erweitert.	Nice is indeed not enough for the purposes of enlargement, but enlargement has already happened, and on the basis of an inadequate treaty.
(Beifall)	(Applause)
Manche sagen: Nizza minus, Nizza ist uns noch zu viel.	There are those who say that, while Nice may not be enough, it is still too much for them.
Heute habe ich einen Regierungschef gehört, der gesagt hat, dass es mit diesen Leuten keinen Kompromiss geben kann.	Today I have heard a Head of Government say that there can be no compromise with people such as they.
Wer hinter Nizza zurückgehen will, der sollte besser erst gar nicht zur Regierungskonferenz fahren.	Those who want to go back to the days before Nice would be best advised to stay away from the Intergovernmental Conference.
Es ist nun an der Zeit, Klartext zu reden.	Now is the time for some straight talking.
18 der Mitgliedstaaten der Europäischen Union haben diesen Verfassungsvertrag bereits ratifiziert. Davon haben zwei Mitgliedstaaten ihn per Referendum ratifiziert, nämlich Spanien und Luxemburg.	Eighteen of the Member States of the European Union have already ratified this constitutional treaty, two of them - Spain and Luxembourg - by means of a referendum.
Warum erlauben wir eigentlich, dass immer nur über Frankreich und die Niederlande geredet wird?	Why, in fact, do we put up with a state of affairs in which the only ones that get talked about are France and the Netherlands?
Warum sagen wir nicht, dass in Europa zwei Völker diesem Vertrag zugestimmt haben, es haben übrigens mehr Europäerinnen und Europäer mit Ja für die Verfassung gestimmt, als mit Nein dagegen.	Why is it not being said that this Treaty has received the support of two peoples, with, it might be added, more Europeans having cast a 'yes' vote for the Constitution than cast a 'no' vote against it?
Auch das ist eine Wahrheit der europäischen Demokratie, die an dieser Stelle ausgesprochen werden sollte.	That is another truth about European democracy that should be spoken out loud now.
Herr Präsident, die Europäische Union ist ein Erfolgsmodell des Friedens nach innen, der sozialen Stabilität, der Kombination von wirtschaftlichem Wachstum und sozialer Stabilität und des Exports von Werten als Grundlage der Politik in den internationalen Bereich.	The European Union exemplifies peace at home, social stability, the combination of economic growth and social stability and of the export of values as a basis for policy in the international sphere.
Wer dieses Erfolgsmodell bewahren will, der muss an den bestehenden Vertragsgrundlagen viel verändern.	There is much in the existing foundational treaties that needs to be changed if this model of success is to survive.
Der italienische Schriftsteller Tomasi di Lampedusa lässt in seinem Roman "Der Leopard" den Neffen Tancredi zum Fürsten von Salina den schönen Satz sagen: Alles muss sich ändern, damit alles bleibt, wie es ist!	In his novel, 'The Leopard' the Italian author Tomasi di Lampedusa has Tancredi, the nephew of the Prince of Salina, tell his uncle, in splendid words, that 'everything must change if everything is to stay as it is'.
Wenn Europa so erfolgreich bleiben will, wie es ist, dann muss es seine vertraglichen Grundlagen ändern, und wenn Sie kämpfen wie ein Leopard, dann kämpfen wir mit Ihnen.	If Europe wants to remain as successful as it is, it must change the treaties that underpin it, and if you fight like a leopard, then you will find us fighting alongside you.
(Beifall)	(Applause)
