Herr Präsident! Wir, die CDU/CSU-Fraktion, haben gegen den Bericht Buitenweg gestimmt.	Mr President, we, the German conservative group (CDU/CSU), voted against Mrs Buitenweg's report.
Wir sind gegen Diskriminierung jeder Art, aber wir halten eine umfassende Rahmenrichtlinie auf europäischer Ebene nicht für den richtigen Weg, die Betroffenen tatsächlich zu schützen.	We oppose discrimination of all kinds, but we do not believe that a comprehensive framework directive at European level is really the right way to protect those affected.
Zehn Mitgliedstaaten haben die bestehende Antidiskriminierungsrichtlinie noch gar nicht umgesetzt.	Ten Member States have still not transposed the existing anti-discrimination directive at all.
Trotzdem hat eine einfache Mehrheit des Parlaments - nicht die qualifizierte Mehrheit - heute für diese Ausweitung gestimmt.	Despite that, a simple majority of this House - not a qualified majority - did vote in favour of this extension today.
Sie würde erhebliche zusätzliche Bürokratie und unnötige Kosten verursachen - das verstehen die Bürger nicht.	It would give rise to considerable additional bureaucracy and unnecessary costs - something that the public has little understanding for.
Zwar konnten Verbesserungen im Versicherungsbereich und zu den baulichen Anpassungsmaßnahmen bezüglich eines behindertengerechten Zugangs erreicht werden. Auch die Forderung nach einem Verbandsklagerecht konnte abgewendet werden.	Improvements can be made in relation to insurance and in the structural adaptation measures relating to disabled entrances, and the requirement for a law on class actions could be eliminated, but we foresee serious problems for the Member States if, for example, we were forced to include the concept 'belief' in the prohibited grounds for discrimination.
Wir sehen aber erhebliche Probleme auf die Mitgliedstaaten zukommen, wenn beispielsweise die Weltanschauung in die unzulässigen Diskriminierungsgründe aufgenommen werden müsste. Die Folge wäre, dass sich auch Extremisten und Sekten, wie beispielsweise Scientology, auf den Schutz der Richtlinie berufen könnten.	The consequence of this would be that extremists and sects, such as Scientology, for example, would be able to invoke the protection of the directive.
Wir wenden uns auch gegen eine absolute Gleichstellung der traditionellen und der gleichgeschlechtlichen Ehe.	We are also opposed to granting complete equivalence of status to traditional and same-sex marriages.
Nach Auffassung der Kommission erfordert die Umsetzung der Richtlinie, dass gleichgeschlechtliche Partner, sofern diese rechtlich in einem Mitgliedstaat anerkannt werden, dann auch dieselben Rechte wie Ehepartner erhalten sollten.	In the Commission's view, the transposal of the directive requires that same-sex partners, insofar as they may be legally recognised in a given Member State, should also receive the same rights as married couples.
Hiergegen wenden wir uns.	We are opposed to that idea.
Deswegen haben wir gegen den Bericht und für die Rücküberweisung des Vorschlags der Kommission gestimmt.	We therefore voted against the report and in favour of referring the proposal back to the Commission.
