Frau Präsidentin! Wir hatten eine Situation, in der es zuerst die Verdrängung des Problems gab.	Madam President, initially we denied that the problem existed.
Dann, nach und nach, kamen wir von der Verdrängung zur Verharmlosung, unterschiedlich je nach Staat und jeweiliger Form der Gesellschaft.	Then gradually we moved from denying that the problem existed to playing down its importance; it varied depending on the country and the society concerned.
Nun, meine ich, befinden wir uns mit diesem Bericht vor einem ganzheitlichen Ansatz.	I think that this report now presents us with a more holistic approach.
Ich finde den Bericht in seiner Summe positiv, wenn er auch sicherlich verbessert werden kann.	I find the report positive overall, although it could certainly be improved.
Die Analyse ist sehr umfassend und gut.	The analysis is very comprehensive and good.
Wenn wir die fünf verschiedenen Stufen betrachten, die Produktion, den Transport, die Vermarktung, den Konsum und die Auswirkungen, so stellen wir fest, dass wir als Gesellschaft, als Gesetzgeber in verschiedenen Bereichen und in verschiedenen Sektoren eingreifen müssen.	If we consider the five different levels - production, transport, marketing, consumption and consequences - we realise that as a society and as a legislator we are going to have to intervene in various different areas and sectors.
Zum Thema der Produktion glaube ich, dass wir uns in Sachen Entwicklungshilfe - das ist ein anderer Bereich, aber er greift hier ja voll mit hinein - mit mehr Engagement einsetzen müssen.	Where production is concerned, I think that we need to intervene much more decisively through development aid, which is a different field, but one that is entirely relevant here.
Denn wenn wir nicht in der Lage sind, freiwillig rechtzeitig zu teilen, werden wir in Zukunft wohl teilen müssen.	Because if we are not in a position to share of our own free will now, then we will certainly have to do so in the future.
Was den Transport und die Vermarktung und die entsprechende Kriminalität anbelangt, so bin ich der Auffassung, dass hier zusätzliche Bemühungen erforderlich sind, die mit einer Verschärfung der entsprechenden Maßnahmen zur Prävention und zur Betreuung unbedingt einhergehen müssten.	As regards transport, marketing and the criminality associated with them are concerned, I think that this is where more effort needs to be made, and it is essential that this go hand in hand with tightening up the relevant measures on prevention and care.
Das ist zwar nicht unsere direkte Zuständigkeit, aber ich glaube, und ich bin davon überzeugt, dass diese Thematik entsprechend aufgeworfen werden muss.	Although this is not directly our responsibility, I do believe - indeed I am convinced - that this issue needs to be raised.
Der Konsum wird im Regelfall als ein individuelles Problem dargestellt.	Consumption is generally presented as an individual problem.
Es ist aber nicht nur ein individuelles Problem, es ist eine Frage sowohl der Person, der Familie, des direkten Umfeldes als auch der kleineren und größeren Gesellschaft.	But it is not just an individual problem; it is an issue not only for the individual, the family and their immediate circle, but also for the local community and society at large.
Die Auswirkungen sind, wie in der Analyse des Berichts sehr umfassend dargestellt wird, auch eine Problematik der Volksgesundheit.	The consequences, as it states in detail in the analysis contained in the report, are also a public health problem.
Es ist also eine Problematik der gesamten Gesellschaft, und ich glaube, dass dieses Phänomen, das nach der Verharmlosung jetzt wieder in eine neue Phase tritt, in der ein entsprechender ganzheitlicher Ansatz verfolgt wird, nur mit Dialog, mit Hilfe und mit Bereitschaft des gesamten Umfeldes, also des lokalen direkten Umfeldes, insbesondere zur Betreuung greifen kann.	It is then an issue for the whole of society and I believe that this phenomenon - which after being played down is now once again entering a new phase in which a holistic approach is being adopted - can only be tackled through dialogue and with the help and willingness of the entire community - the local community in particular - to provide care.
Ich hoffe, dass sich diesbezüglich die Einstellung der Gesellschaft nach und nach ändert und die Bereitschaft zu mehr Einsatz wächst, der die Voraussetzung für einen erfolgreichen Kampf gegen diese Geisel ist.	I hope that society's attitude gradually changes in this regard and that people become more willing to show greater commitment here, because that is what is required if we are to be successful in combating this scourge.
