amtierender Ratspräsident. Herr Präsident!	President-in-Office of the Council.
Herzlichen Dank, dass ich noch einmal die Gelegenheit habe, diese Diskussion kurz aufzunehmen.	Mr President, many thanks for the opportunity to join this debate again briefly.
Ich will sie nicht sehr umfangreich kommentieren, sondern mich in erster Linie für Ihre Beiträge bedanken.	I do not want to comment on it at great length, but primarily to express my thanks for the contributions.
Die Diskussion hat aber gleichzeitig deutlich gemacht, Herr Leinen, dass die gemeinsame Verständigung über den Inhalt der Werte innerhalb dieser Berliner Erklärung eben doch nicht so einfach ist.	At the same time, however, Mr Leinen, the debate has made clear that it is really not easy to agree on the substance of the values to be included in this Berlin Declaration.
Die Spannbreite, die sich hier in der Diskussion gezeigt hat - von eher auf das Verfahren bezogenen Erwartungen wie der Gemeinschaftsmethode auf der einen Seite bis hin zu Erwartungen an anspruchsvolle Klimaziele und Freiheit der sexuellen Orientierung, Herr Cohn-Bendit auf der anderen Seite -, zeigt eben, wie schwierig es ist, in einer Berliner Erklärung die gesamte Spannbreite dieser Diskussion auf zwei Seiten zu erfassen.	The range of expectations - from those relating more to procedure such as the Community method on the one hand, to those concerning ambitious climate targets and freedom of sexual orientation, Mr Cohn-Bendit, on the other - revealed by this debate just goes to show the difficulty of incorporating everything in a two-page Berlin Declaration.
Ich kann Ihnen aber versichern: Wenn wir uns darum bemühen, die Spannbreite der Diskussion einigermaßen fair und mit Blick auf die Geschichte der Europäischen Union abzubilden, startet niemand bei Null.	I can assure you, however, that, if we endeavour to reflect the range of expectations expressed in this debate reasonably fairly whilst taking account of the history of the EU, there will be a little something for everyone.
Wir haben in diesen 50 Jahren gemeinsame Dokumente geschaffen, auf die wir uns beziehen können.	We have drawn up documents together in the last 50 years that we can refer to.
Diskussionen zwischen Europäischem Parlament, Kommission und den Mitgliedstaaten finden ja auch nicht nur zum Zwecke der Verfertigung einer Berliner Erklärung statt, sondern wir greifen diese Erfahrung auch auf für den anspruchsvollen Versuch, den Stand der Europäischen Union und die Herausforderungen an die Zukunft festzuhalten.	After all, discussions between Parliament, the Commission and the Member States are held not only for the purposes of drawing up a Berlin Declaration, but also so that we can draw on what we have learned in our ambitious attempt to take stock of the EU and the challenges for the future.
Herr Cohn-Bendit, an Ihre Adresse gerichtet würde ich gerne noch eines richtig stellen. Das war ja ein kleines Lehrstück für Demagogie, das Sie hier geliefert haben.	I should like to set one thing straight for the benefit of Mr Cohn-Bendit, who showed us a small example of demagogy.
Aber natürlich bin ich nicht ganz so einfältig, dass ich in meinem Wortbeitrag vom Kampf gegen illegale Migration gesprochen hätte.	Of course I would not be quite so naive as to discuss the fight against illegal migration in my speech.
Ich habe zwar verstanden, dass Sie sozusagen diese Folie brauchten, um Ihren Vortrag danach auszurichten, aber ich habe über die Freiheit der Menschen und Bürgerrechte gesprochen, und ich habe in diesem Zusammenhang von einem gemeinsamen Umgang mit illegaler Migration gesprochen und das ist nicht nur eine Nuance.	I understand that you needed this as a model, as it were, to orient your speech around, but I had in fact been speaking about the freedom of human beings and civil rights, and mentioned the need for a common approach to illegal migration in this context - which is no small difference.
Ich bitte Sie also, dies auch in Zukunft wahrzunehmen.	I would ask you to bear this in mind in future.
Sie können jemandem, der nicht nur zufällig, sondern mit dem Herzen in Berlin wohnt, schon zutrauen, dass er auch ein bisschen etwas versteht von den Problemen, die Migration und Einwanderung mit sich bringen und etwas spürt von der Verpflichtung, die wir in den Nationalstaaten haben, unsere Politik in diesem Sinne auszurichten.	You can be assured that someone who lives in Berlin not by chance but because his heart lies there also understands a little of the problems that migration and immigration entail and has some sense of the duty we nation states have to gear our policies towards them.
(Beifall)	(Applause)
Allen anderen will ich sagen, dass die Diskussion, die ich hier heute noch einmal gehört habe, gar nicht so weit entfernt ist von der Diskussion, die Sie, Herr Präsident, mit den Regierungschefs der Mitgliedstaaten beim Abendessen in der vergangenen Woche geführt haben.	To the rest of the House I would say that what I have heard here today is really not so far removed from the discussion that you, Mr President, had with the Heads of State or Government of the Member States at last week's dinner.
Nach meinem Eindruck deckt sich das, was an Wünschen und Erwartungen an uns herangetragen wird, zu 90% mit dem, was wir an Stichworten und Zurufen auch in der Diskussion am vergangenen Donnerstagabend gehört haben. Insofern müssen Sie jedenfalls nicht befürchten, dass bei unserem anspruchsvollen Versuch, daraus eine Berliner Erklärung zu formulieren, all zu vieles aus der Diskussion verloren geht.	I have the impression that 90% of the desires and expectations expressed here match the key words and calls expressed in the discussion last Thursday evening, and so there is no need to fear our omitting any significant points in our ambitious attempt to form these desires and expectations into a Berlin Declaration.
Aber wir haben natürlich die Aufgabe, das in eine Form zu bringen, die der Erwartung der allgemeinen Verständlichkeit noch Rechnung trägt.	Of course, we do have the job of putting this in a form that meets the expectation that it be generally comprehensible.
Was also, Herr Leinen, die Gemeinschaftsmethode betrifft: So sehr ich weiß, dass sie im Gespräch zwischen Europrofis ein Stichwort darstellt, das Konnotationen freisetzt, die uns etwas sagen - Stichwörter wie "Gemeinschaftsmethode" müssen dennoch umgesetzt werden und dürfen sich nicht als solche im Text wiederfinden.	Mr Leinen, this also goes for the Community method. Although I am well aware that 'Community method' is a set phrase with connotations that mean something in circles of Euro-experts, phrases like this cannot feature as such in the text, but must be 'translated'.
Aber wir werden gewährleisten, dass solche Erwartungen ihrem Sinn nach erfasst werden.	Nevertheless, we shall ensure that the spirit of such expectations is included.
(Beifall)	(Applause)
