Herr Präsident, Herr Kommissar! Ich möchte gern auf einige Punkte eingehen.	Mr President, Commissioner, there are a number of points I would very much like to deal with.
Manches wurde von meinen Vorrednern und Kollegen schon angesprochen; erlauben Sie mir, mich daher auf wenige Punkte zu konzentrieren.	Those of my colleagues who have spoken before me have covered quite a lot, so please permit me to focus on a few aspects.
Ich habe die Dokumente der Kommission mit Interesse gelesen, auch die verschiedenen Initiativen, die von Seiten des Rates angedacht werden und die teilweise auch schon in konkrete Aktionspläne eingeflossen sind.	It was with interest that I read the Commission documents, as well as the various initiatives considered by the Council, which have had some influence on actual action plans.
Ganz besonders interessant finde ich, dass wir hier den Versuch machen, einen Raum zu definieren, der im Moment aus verschiedenen Interessen zusammengesetzt ist und auch von verschiedenen Nationalitäten angedacht und gesteuert wird.	I find it particularly interesting that we are here attempting to define an area that is at present made up of various interests and also watched over and managed by different nationalities.
Zum Beispiel haben Sie mit Recht in dem Aktionsplan die verschiedenen Treffen erwähnt, die Sie mit Kanada oder mit Russland hatten.	To take one example, you were right to mention in the action plan the various meetings that you had with Canada and Russia.
Ich glaube, das ist etwas Hochinteressantes, was Sie hier unternehmen.	I think that what you are undertaking in those areas is of great interest.
Ich würde mir - ähnlich wie meine Kollegen - wünschen, dass das Europäische Parlament enger in die Arbeit einbezogen wird.	Like my colleagues, I would like to see Parliament more closely involved in this work.
Die Definition des Raumes mit seinen spezifischen Problemen, mit seinen spezifischen Kriterien und auch mit seinen Entwicklungen - ich glaube, Sie versuchen hier etwas, was wirklich authentisch ist, was auch politische Dimensionen einbezieht, z.B. die Außenpolitik oder die Sicherheitspolitik.	I believe that, in defining the area, which has its own specific problems, its own specific criteria and is undergoing changes of its own, you are attempting something that has real authenticity and which also involves political dimensions such as foreign or security policy.
Aber Sie haben auch die Fragen Gesundheit, Forschung, Infrastruktur, Energie und den gesamten Informationssektor mit einbezogen.	You have also, however, incorporated issues of health, research, infrastructure, energy and the information economy as a whole.
Das Besondere ist hier, dass wir die spezifischen Interessen der Regionen wirklich berücksichtigen, und zwar nicht nur gekoppelt an unsere europäischen Interessen oder unter dem Blickwinkel unseres europäischen Interesses, sondern dass wir die Dimension Russlands tatsächlich in die Überlegungen mit einbeziehen und berücksichtigen, ähnlich wie auch Kanada.	The remarkable thing about this is that we really are taking account of the region's specific interests, and doing so not merely from the standpoint of our European interests or coupled with them, but by actually including the Russian dimension in the discussions and taking it into consideration, just as we do with Canada.
Ich möchte mich ganz ausdrücklich dafür bedanken, weil dadurch diese mitunter etwas enge Fokussierung auf die rein europäischen Interessen, die wir in Europa haben, etwas gelockert wird.	I want to say how grateful I am for that, because it broadens to some degree the somewhat narrow view that we in Europe sometimes take, and which leads us to focus on purely European interests.
Herzlichen Dank dafür!	Many thanks for that.
Mein Plädoyer: Beziehen Sie das Europäische Parlament enger mit ein und versuchen Sie, Möglichkeiten zu finden, wie die Parlamente und die Kollegen aus den verschiedenen Ländern Sie in der Arbeit unterstützen können.	What we ask is that you get Parliament more closely involved and attempt to find ways in which the parliaments and our counterparts in the various countries can support you in your work.
Es gibt ja den europäischen Wirtschaftsraum, wo wir bereits eine sehr gute Kooperation etabliert haben, um die Arbeit der Regierungen und der Administration unterstützen zu können. Wir kennen das aus verschiedenen anderen parlamentarischen Kooperationen auch.	After all, we have established very good cooperation in the European Economic Area in order to give support in the workings of government and administration, and we have seen this done in several other cooperative arrangements between parliaments.
Ich glaube, eine solche Form der Kooperation, die Sie vielleicht tatsächlich unterstützen kann, benötigen Sie noch.	This sort of cooperation could actually be a source of strength to you, and I believe that you still need it.
Etwas fehlt mir komplett. Zwar sind diese ganzen Interessen, die verschiedenen Themen, die Sie ansprechen, alle relevant, aber entweder habe ich es völlig überlesen oder ich habe die Dokumente nicht gefunden.	There is one thing I find lacking among all the interests and diverse topics that you address.
Dass Sie sich wirklich einmal auf die Wirtschaftsdimension des Raumes als eigenständiges Thema konzentrieren, habe ich nicht so wahrgenommen.	Relevant though these are, either I have failed to spot it when reading or I have not managed to find the documents, but I find no reference to you focussing on the economic dimension of the area as a topic in its own right.
Aber es kann sein, dass ich es übersehen habe, und dann bitte ich, es zu entschuldigen.	It may be that I have overlooked this, and if that is the case, I crave your indulgence.
