Herr Präsident, meine sehr geehrten Damen und Herren!	Mr President, ladies and gentlemen.
Ich glaube, es ist richtig, wenn wir sagen, daß der vorliegende Bericht für eine gemeinsame Strategie für den Forstsektor eine schwere Geburt war.	We quite rightly recognise that the report before us on a common forestry strategy had a difficult struggle to see the light of day.
Warum war das so?	And why was that so?
Lassen Sie mich versuchen, eine positive Erklärung anzubieten.	Allow me to try to offer a constructive explanation.
Der Forstsektor stellt für manche Länder eine geradezu lebensnotwendige wirtschaftliche aber auch kulturelle Grundlage dar.	For many countries forestry represents a vital economic and cultural foundation.
Darüber hinaus ist der Forstbereich zweifellos ein Sektor mit Zukunft.	The forestry sector is also undoubtedly one with a future.
Wald und bewaldete Flächen bedecken innerhalb der Europäischen Union 41, 5 % der Landfläche, die sich auf über 10 Millionen Eigentümer aufteilen, und 2, 8 Millionen Menschen sind direkt oder indirekt von der Forstwirtschaft abhängig.	Forests and wooded areas cover 41.5 % of the surface area of the European Union, divided over more than 10 million owners, and 2.8 million people are either directly or indirectly dependent on the forestry sector.
So läßt sich auch leicht erklären, warum gerade der Forst auch sehr viele Emotionen in der Diskussion geweckt hat.	And so it is easy to understand why forests arouse so much passion in the debate.
Das Ergebnis kann sich aber wirklich sehen lassen.	The result is here for all to see.
Ich möchte daher allen Beteiligten, die daran mitgewirkt haben, diesen akzeptablen Kompromiß zu erarbeiten, sehr herzlich danken.	That is why I would like to express my warmest thanks to all who have cooperated in producing this acceptable compromise.
Ich denke, der einstimmige Beschluß im Landwirtschaftsausschuß bringt dies auch zum Ausdruck.	I think that this is expressed in the unanimous decision in the Committee on Agriculture.
Lassen Sie mich einen weiteren positiven Aspekt herausstreichen.	Let me draw attention to another positive aspect.
Das Parlament wurde in diesem Fall von sich aus aktiv.	Parliament took the initiative in this case.
Nur durch derartige Initiativen wird es, denke ich, auch in Zukunft gelingen, die Rolle des Europäischen Parlaments in frühen Phasen der Diskussion zu stärken.	It is only through this kind of undertaking, I think, that we shall strengthen the role of the European Parliament in the early stages of the debate.
Gerade als Abgeordnete dieses Hauses sollten wir daran größtes Interesse haben.	We as Members of this House should ever bear that in mind.
Einige Punkte im vorliegenden Bericht erscheinen mir sehr wesentlich. Vor allem auch aus österreichischer Sicht, die natürlich meinen Ansichten sehr ähnlich ist.	Some points in this report merit particular attention in my view, particular from the Austrian angle, which is of course very close to my own.
Österreich verfügt über eine Waldfläche von 3, 87 Millionen Hektar Wald, wovon 86 % bewirtschaftet werden.	Austria has 3.87 million hectares of wooded area of which 86 % is managed.
Rund 250.000 Menschen sind direkt oder indirekt von der Forstwirtschaft abhängig oder in ihr beschäftigt.	Some 250, 000 persons depend either directly or indirectly on the forestry sector or work in it.
Als Hauptfunktion des Waldes werden seine wirtschaftliche Nutzung sowie sein Umwelt- und Freizeitwert definiert.	The main roles of forests is defined as their economic utilisation and their value in environmental and leisure terms.
Es erscheint mir sehr wesentlich, diese Funktionen nicht getrennt voneinander zu sehen.	I think it important that these roles are seen as a whole.
Es ist ein Irrglaube, wirtschaftliche Nutzung mit Ausbeutung der Natur gleichzusetzen.	I think it would be a mistake to equate economic utilisation with exploiting natural resources.
Nur durch gezielte und vor allem nachhaltige Bewirtschaftung kann auf Dauer das ökologische Gleichgewicht im Forst sichergestellt werden.	Only planned and particularly sustainable management can guarantee the ecological balance of forests in the long term.
Und zur Sicherung des ökologischen Gleichgewichts im Wald ist auch eine verantwortungsbewußte Jagd notwendig.	And to ensure this economic balance in the forests we must have responsible hunting.
Die Bewirtschaftung des Waldes spielt vor allem eine allergrößte Rolle für Berggebiete, die bekannterweise bei der sonstigen landwirtschaftlichen Nutzung stark benachteiligt sind.	Forest management is of prime importance for mountain areas in particular, which are well known to suffer from neglect in other agriculture management.
Holz ist zu einem wesentlichen Element als Baustoff, Werkstoff aber auch als Energieträger geworden.	Wood has become a basic element as a raw material, a work material and also as a source of energy.
Mit einer hoffentlich stärkeren Nutzung der Biomasse wird auch der Holzbedarf im Energiebereich bestimmt ansteigen.	An increase in the use of biomass, as we hope for, will certainly lead to a greater demand for wood.
Auf die vielfältigen sonstigen Möglichkeiten der Nutzung von Holz brauche ich bestimmt nicht einzugehen.	There is no need for me to dwell on the many other varied uses of wood.
Eines ist allerdings klar: Holz ist als erneuerbarer Rohstoff ein Produkt, dem wirklich verstärkt Augenmerk geschenkt werden muß.	But one thing is clear: wood, as a renewable raw material, is a product which we must value more.
Es drängt sich natürlich sofort die Frage nach der Ausweitung der Waldbestände auf.	The question immediately arises of expanding forestry resources.
Dabei muß jedoch ganz deutlich unterschieden werden, wo Aufforstungen sinnvoll bzw. notwendig sind und wo Aufforstung nur als letzter Ausweg gesehen werden kann, um Landgebiete zu bewirtschaften.	And here we must make a clear distinction between those areas where afforestation is sensible or necessary and those where it should only be considered as a last resort to manage rural areas.
Dort aufzuforsten, wo es gilt, Erosionen vorzubeugen oder Schutzwälder zu errichten, ist natürlich selbstverständlich.	It goes without saying that we should reforest in order to prevent erosion or protect woods.
Dort aber, wo natürliche Landschaften verändert werden, sollte Vorsicht geboten sein.	But caution is needed in areas where natural landscapes would be altered.
Das Hauptaugenmerk muß auch weiterhin nicht der Aufforstung, sondern der Pflege der Waldflächen gelten.	Our guiding principle should continue to be, not afforestation, but the preservation of wooded areas.
EUweit - dies ist ja bekannt - übersteigt in allen Mitgliedstaaten, ausgenommen Griechenland, der Zuwachs im Forst die Schlägerungen.	We all know that throughout the EU, with the exception of Greece, forest expansion is greater than depletion.
Ich meine, daß im Bericht auch dem Brandschutz, der Schädlingsbekämpfung und den biologischen Ressourcen des Waldes angemessen Rechnung getragen wird.	I think that the report takes proper account of fire protection, use of pesticides and the biological resources of the forests.
Sehr geehrte Kolleginnen und Kollegen! Ich hoffe, daß Sie diesem Kompromiß für eine gemeinsame Strategie des Forstes in der EU Ihre Zustimmung geben.	Ladies and gentlemen, I hope that you will vote in favour of this compromise for a common forestry strategy in the EU.
