Herr Präsident! Ich begrüße den Perspektivenwechsel, der im Bericht Brok angelegt ist.	– Mr President, I welcome the change of perspective that is set out in Mr Brok’s report.
Es kann in unseren Debatten nicht länger darum gehen, welches Land wir lieber als ein anderes dabei hätten, sondern wir müssen uns endlich der Frage stellen, was für ein politisches System sich die Europäische Union eigentlich zugunsten ihrer eigenen Entscheidungs- und Handlungsfähigkeit leisten kann.	Our debates can no longer be about our preference for one country rather than another; instead, we must, at last, face up to the question as to what sort of political system the European Union can actually afford if it is to become better able to take decisions and act on them.
Das ist die Leitfrage, von der man ausgehen muss.	That is the fundamental issue on which all others depend.
Deshalb müssen wir in der Tat in einem nächsten Schritt Begriffe klären, die bislang nicht definiert wurden.	It is for that reason that our next step must be to clarify terms that have not as yet been defined.
Der Begriff der Aufnahmefähigkeit ist in den Kopenhagener Kriterien enthalten, aber er ist nicht definiert.	The Copenhagen criteria make reference to the concept of ‘assimilation capacity’, while not, however, defining it.
Nach meiner Ansicht gehören dazu mindestens die politisch institutionellen Regelungen, wie sie im Verfassungsvertrag enthalten sind.	As I see it, it must involve at least the political and institutional arrangements set out in the Constitutional Treaty.
Herr Kommissar, ich habe aufmerksam zugehört. Korrigieren Sie mich, aber ich habe diesbezüglich nichts von Ihnen gehört.	While I have listened attentively to what the Commissioner has said, he can correct me if I am wrong, but I have not heard him say anything about this.
In der Entscheidung, was ein wichtiges Kriterium von Aufnahmefähigkeit ist, liegt die mögliche Quelle eines Dissenses zwischen uns und der Kommission.	Inherent in the decision as to what is a criterion of capacity to assimilate is the potential source of dissent between us and the Commission.
Zu den wichtigen Kriterien gehört eine zukunftsfähige Finanzierung der Europäischen Union ebenso wie die Akzeptanz durch die Bevölkerungen in der Europäischen Union.	Among the important criteria are that the European Union should be funded in such a way as to have a viable future and its being accepted by the people who live in it.
Wenn der Punkt Glaubwürdigkeit angesprochen wird, dann entspricht es ebendieser Glaubwürdigkeit und den Kriterien, die man sinnvollerweise für Aufnahmefähigkeit anlegen kann, dass für eine vorhersehbare Zukunft nach Bulgarien und Rumänien kein weiteres Land aufgenommen werden kann.	If we are to talk in terms of credibility, that credibility, and the criteria that can properly be applied to capacity to assimilate, require that it should not be possible for another country to accede for the foreseeable future once Bulgaria and Romania have done so.
Glaubwürdigkeit ist nicht nur das Versprechen, irgendwann Leute aufzunehmen, Glaubwürdigkeit ist auch, die Bedingungen zu nennen, unter denen das überhaupt möglich ist. Das bedeutet auch, dass wir Begrifflichkeiten wie Erweiterungs- oder Beitrittsperspektive präzisieren müssen.	Credibility is about more than a promise to accept people at some unspecified time; it is also about specifying the conditions under which they can be accepted at all, and that means that we have to be more precise about such concepts as ‘enlargement perspective’ or ‘prospect of accession’.
Wir müssen uns sehr klar machen, dass der Glaube, ein Beitritt löse Spannungen und interne Sicherheitsprobleme, ein Irrglaube ist.	We have to be very clear in our own minds that the belief that a country’s accession will resolve tensions and internal security problems is an erroneous one.
Diese Spannungen und Probleme müssen gelöst werden, bevor Beitrittsverhandlungen aufgenommen werden.	Such tensions and problems must be resolved before accession negotiations start.
