Herr Präsident!	.
Ich möchte der Ratspräsidentschaft danken, dass sie den Stockholm-Gipfel so positiv aufnimmt und ökonomische Nachhaltigkeit erzielen will, die im Interesse von Vollbeschäftigung, Wirtschaftsreform, Innovation und Zukunftsfähigkeit der Europäischen Union steht.	Mr President, I want to thank the Presidency of the Council for taking such a positive approach to the Stockholm summit and aiming at economic sustainability, which lies in the interests of full employment, economic reform, innovation and the future viability of the European Union.
Was wir in Stockholm brauchen, ist kein Gipfel der Deregulierung.	What we need in Stockholm is not a deregulation summit.
Wir brauchen einen Gipfel, der klar macht, auf welcher Ebene in der Europäischen Union am besten alles geregelt wird, damit wir tatsächlich bei der Nutzung des Binnenmarktes nicht nur im Interesse der Wirtschaft, sondern auch der Menschen, der Arbeitnehmerinnen und Arbeitnehmer Fortschritte machen.	We need a summit that makes it clear at what European Union level we can regulate everything best, so that we really can make progress in using the single market in the interests not just of the economy but also of the people, of the workers.
Daher möchte ich auch gerne die Bitte an die schwedische Ratspräsidentschaft richten: Wenn Sie mehr Transparenz und mehr Demokratie gerade im Zusammenhang mit der Koordinierung der Wirtschaftspolitik an den Tag legen wollen, machen Sie einen Anfang, beteiligen Sie das Europäische Parlament am makroökonomischen Dialog, an allen Initiativen und an der Erarbeitung der Grundzüge der Wirtschaftspolitik!	So I would like to make a request to the Swedish Presidency. If you want to show greater transparency and greater democracy, specifically in relation to coordinating economic policy, make a start by involving the European Parliament in the macroeconomic dialogue, in every initiative and in elaborating the basic features of economic policy.
Wir werden unsere Vorschläge erstmals im Rahmen eines Gesetzgebungsverfahrens vorlegen.	We will first submit our proposals in the framework of a legislative procedure.
Wir werden sehen, ob die schwedische Ratspräsidentschaft tatsächlich auch diesen Ball für die Überwindung des demokratischen Defizits auffängt und pragmatisch in kleinen Schritten vorgeht.	We will see whether the Swedish Presidency really is taking this issue of overcoming the democratic deficit on board and is proceeding pragmatically, by small steps.
Dies ist eine wirklich herzliche Bitte des Europäischen Parlaments, das seit 1994 dafür plädiert, eine entsprechende interinstitutionelle Vereinbarung zu treffen.	That is a very cordial request by the European Parliament, which has been calling since 1994 for an interinstitutional agreement of that kind to be reached.
Ich möchte die Ratspräsidentschaft bitten, den Prozess von Lissabon konsequent weiterzuverfolgen, indem alle Politikfelder, die dort genannt sind, den gleichen Stellenwert behalten.	I would ask the presidency to pursue the Lisbon process consistently, ensuring that all policy areas referred to in it keep the same status.
Das heißt, dass wir tatsächlich einen angemessenen und ausreichenden Policy Mix umsetzen, indem wir eine Politik der sozialen Integration, der Vollbeschäftigung, der Wirtschaftsreformen mit klaren Zeitplänen und auch qualitativen Merkmalen verfolgen.	That means we really do implement an appropriate and adequate policy mix, by pursuing a policy of social integration, full employment and economic reforms based on clear timetables together with quality benchmarks.
Das gilt auch für die Finanzpolitik, denn wir müssen auch über die Investitionspolitik klar machen, dass die Menschen in Europa durch die Zusammenarbeit auf der europäischen Ebene, durch Investitionen in die Menschen, aber auch in Infrastrukturen einen Mehrwert erreichen können.	The same applies to financial policy, for we must begin by making it clear through our investment policy that the people of Europe can achieve added value through cooperation at European level, through investment in people, but also in infrastructures.
Eine letzte Bemerkung an die schwedische Ratspräsidentschaft: Auf Ihnen ruht unsere Hoffnung, dass die zum großen Teil sehr besorgten Bürger und Bürgerinnen die Euro-Einführung angstfrei erleben können.	Let me address one last comment to the Swedish Presidency: we place our hopes in you to ensure that the citizens of Europe, most of whom are very worried, can face the introduction of the euro without fear.
Arbeiten Sie intensiv mit der belgischen Ratspräsidentschaft zusammen und fordern Sie alle Akteure in den Dörfern, Städten und Hauptstädten zur Zusammenarbeit auf, denn der Euro ist ein kühnes historisches Projekt, das nur gelingen kann, wenn alle an einem Strang ziehen!	Please work very closely with the Belgian Presidency and call on all the players in the villages, towns and capitals to cooperate. For the euro is a bold historic project that can only succeed if we all pull together.
